name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
London,2013/2/3,9.1,0.3,5.1,7,-2.3,2.2,2.4,82.8,0,0,0,,,,46.4,26.3,242.9,1018.9,84.7,34.9,15.3,1.3,1,,2013-02-03T07:35:29,2013-02-03T16:53:53,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/4,10.8,6.3,9.2,10.8,2.3,7.2,3.9,70.6,0,0,0,,,3,63.8,31.2,265.5,1012.5,65,26,85.8,7.3,4,,2013-02-04T07:33:52,2013-02-04T16:55:43,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/5,6.8,2.3,4.7,2.6,-2.5,0,0,72.7,0.009,100,8.33,rain,,,67.2,36.2,260.7,1000.3,57.5,39.4,55.6,4.8,2,,2013-02-05T07:32:13,2013-02-05T16:57:33,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/6,6.3,3.3,5,2.9,-0.7,0.9,0.4,72.8,1,100,12.5,rain,,2.5,61.6,28.7,337.5,1007,60.3,40.6,72.3,6.4,4,,2013-02-06T07:30:32,2013-02-06T16:59:23,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"3,769,099,999,036,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/7,6,1.5,3.5,3,-2.2,0.5,-1.9,68.6,0.299,100,4.17,rain,,,,20.1,303.1,1018.1,50,35.1,52.1,4.5,2,,2013-02-07T07:28:49,2013-02-07T17:01:13,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/8,6,1.3,3.6,3,-0.5,1.4,-0.3,76,2.985,100,8.33,rain,,,46.4,18.6,323,1019.5,66.5,17.7,83.7,7.3,4,,2013-02-08T07:27:04,2013-02-08T17:03:03,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/9,4.1,2,3.1,2.5,-0.7,1,0.7,83.8,0.999,100,16.67,rain,,2,,18.1,211,1018.9,66.1,18.3,72.7,6,4,,2013-02-09T07:25:18,2013-02-09T17:04:53,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/10,5.1,1.1,3.5,2.2,-3.8,-0.3,2.4,92.7,7.146,100,16.67,rain,,3,48.2,23.4,129.3,999.4,90.3,7.2,14.2,1.2,1,,2013-02-10T07:23:30,2013-02-10T17:06:43,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/11,2.1,0.8,1.5,-1.3,-3.3,-2,0.3,91.8,11.867,100,16.67,"rain,snow",,9.1,,14.9,51.9,999.2,90.9,4.1,43.9,3.7,2,,2013-02-11T07:21:41,2013-02-11T17:08:33,0.01,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/12,2.5,1.6,2,0.2,-1.7,-0.8,-2.2,73.6,0.5,100,8.33,"rain,snow",,8.6,,12.8,44.6,1015.2,80.3,7.1,74.4,6.6,3,,2013-02-12T07:19:50,2013-02-12T17:10:23,0.03,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/13,3.3,1.3,2,1.8,-3.1,-1.4,-2.8,70.3,0.001,100,4.17,rain,,8.5,48.2,19.5,148.7,1021.2,84.3,7,40.4,3.6,2,,2013-02-13T07:17:58,2013-02-13T17:12:13,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/14,11,4.3,8,11,-0.1,5.9,4.6,79.9,1.523,100,12.5,rain,,6.8,53.6,25.2,244.9,1011.5,67.8,27.4,87.7,7.7,4,,2013-02-14T07:16:05,2013-02-14T17:14:03,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/15,10.6,2.3,6.6,10.6,0.5,5,2.2,74.9,0,0,0,,,,,14.4,282.2,1019.9,56.5,26.8,75.7,6.4,4,,2013-02-15T07:14:10,2013-02-15T17:15:52,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/16,10.3,4.5,7.1,10.3,4.5,6.7,1.3,68.4,0,0,0,,,,,9.1,185.5,1023.6,85.2,26.1,80,6.9,3,,2013-02-16T07:12:14,2013-02-16T17:17:42,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/17,10.8,3.1,5.1,10.8,0.8,3.3,2.1,82.4,0,0,0,,,,,18.1,107,1021.7,39.5,13.2,115.8,10.1,5,,2013-02-17T07:10:16,2013-02-17T17:19:31,0.23,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/18,7.9,1.8,4.5,5.7,0,2.2,1.5,81.5,0.001,100,4.17,rain,,,,17.4,100,1020.4,63.8,11,116.9,10.2,5,,2013-02-18T07:08:18,2013-02-18T17:21:20,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/19,10.6,-1.2,4.7,10.6,-1.2,4.5,0.5,77.1,0.001,100,4.17,"rain,snow",,,,5.9,354.8,1019.6,4.3,9.9,118.5,10.3,5,,2013-02-19T07:06:18,2013-02-19T17:23:09,0.33,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/20,5.6,2,3.5,4.1,-2.7,0,-0.4,76.2,0.997,100,8.33,rain,,,,24.6,81,1023,64.8,15,110.8,9.4,5,,2013-02-20T07:04:17,2013-02-20T17:24:58,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/21,2.6,1.1,1.9,-1.6,-3.7,-2.8,-5.6,57.8,0,0,0,,,,48.2,22.4,83.2,1024,91.6,31.6,116.3,10,4,,2013-02-21T07:02:15,2013-02-21T17:26:46,0.41,Overcast,Cloudy skies throughout the day.,cloudy,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/22,1.8,0.6,1.3,-2.7,-4,-3.4,-5.6,60.2,0,0,0,,,,,22.3,48.9,1020.6,79.2,35.6,93.3,8.2,4,,2013-02-22T07:00:12,2013-02-22T17:28:34,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/23,2.1,0.5,1.3,-1.3,-3.9,-2.7,-4.3,66.2,0,0,0,,,,,17.8,31.4,1020.9,75.6,17.4,79.6,6.8,3,,2013-02-23T06:58:08,2013-02-23T17:30:22,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/24,2.6,1.1,1.9,-1.5,-3,-2.3,-3.2,68.9,0,0,0,,,,,20,7.5,1024.1,77.7,24.6,86.5,7.5,4,,2013-02-24T06:56:03,2013-02-24T17:32:10,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/25,4.8,2,3.6,1.1,-2.1,-0.4,0.4,80,0,0,0,,,,,24.1,19.2,1027.2,92.6,12.5,95.2,8.2,4,,2013-02-25T06:53:57,2013-02-25T17:33:57,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/26,5.3,3.1,4.2,2.3,-1.2,0.7,2.6,89.1,0.302,100,8.33,rain,,,,22.7,43.7,1032.2,98.6,4.1,81.9,7,3,,2013-02-26T06:51:51,2013-02-26T17:35:44,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/27,6.8,2.5,4,3.7,-2,0.4,0.8,79.9,0.299,100,4.17,rain,,,46.4,19.6,41.4,1034.2,86.5,12.1,116.2,10,5,,2013-02-27T06:49:43,2013-02-27T17:37:31,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/2/28,8,2.8,4.6,5.2,-1.1,1.2,0.9,77.1,0,0,0,,,,,19.8,45.3,1029.7,76.8,19.9,37.3,3.3,1,,2013-02-28T06:47:35,2013-02-28T17:39:17,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/1,7,3,5,3.6,-1.3,2,1,76.1,0.5,100,8.33,rain,,,,20.5,42.5,1029.3,87.5,19.8,88.5,7.5,4,,2013-03-01T06:45:26,2013-03-01T17:41:03,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/2,5,1.6,3.6,3.1,0.1,1.5,-1.5,69.6,0.001,100,4.17,rain,,,,14.8,46.6,1027.8,80.1,28.7,114.3,9.9,4,,2013-03-02T06:43:16,2013-03-02T17:42:49,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/3,8.3,-0.5,4,5.4,-0.5,2.3,0.4,78.2,0,0,0,,,,,20.8,92,1023.5,72.5,18.4,138,12,5,,2013-03-03T06:41:06,2013-03-03T17:44:35,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/4,9.4,2.6,5,6.8,-0.6,2.3,0.9,75.6,0,0,0,,,,,19,89.8,1013.7,61.9,7.9,148,12.8,5,,2013-03-04T06:38:54,2013-03-04T17:46:20,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/5,16.5,2.3,8.7,16.5,0.7,8,3.5,72.3,0,0,0,,,,,12.1,122.2,1004.5,30.2,13.8,138.7,11.8,5,,2013-03-05T06:36:43,2013-03-05T17:48:05,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/6,13.6,8.3,10.3,13.6,7.2,9.7,4.9,69.6,0,0,0,,,,,12.4,79.3,1000.6,84.8,10.7,98.2,8.5,4,,2013-03-06T06:34:30,2013-03-06T17:49:50,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/7,9.8,7.6,8.9,8.6,6.5,7.5,7.7,92,2.521,100,12.5,rain,,,,13,83.9,996.9,74.6,3.1,41.8,3.5,2,,2013-03-07T06:32:18,2013-03-07T17:51:34,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/8,10.1,8.4,9.3,10.1,6.9,8.4,8.6,95.6,8.895,100,16.67,rain,,2,,10.6,61.4,997.6,75.5,2.7,35.7,3,2,,2013-03-08T06:30:04,2013-03-08T17:53:18,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/9,8.5,4.1,6.5,8,1.3,4.8,4.6,87.4,5.575,100,12.5,rain,,2,,12.1,356.6,1002.6,92.4,6.7,44.5,3.9,2,,2013-03-09T06:27:50,2013-03-09T17:55:02,0.97,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/10,3.8,1.5,2.8,0.3,-4,-1.5,-0.5,79,0,0,0,,,2,50,26.4,46.2,1006,86.1,25.4,123.4,10.6,5,,2013-03-10T06:25:36,2013-03-10T17:56:46,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/11,1.3,-1.2,0.1,-4.2,-8.1,-6.4,-4.9,69.5,0.001,100,4.17,"rain,snow",,3.3,65.1,35,50.3,1007.3,76.2,27.7,55.4,4.8,2,,2013-03-11T06:23:21,2013-03-11T17:58:29,1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/12,4.5,-1.4,1.4,-0.3,-8.4,-4,-5.8,60.2,0,0,0,,,4.9,63.5,35.3,34.1,1008.9,67.6,31.5,149.1,12.8,5,,2013-03-12T06:21:06,2013-03-12T18:00:13,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"3,769,099,999,036,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/13,7.1,1.6,3.4,3.9,-1.8,0.2,-1.5,71.2,0.794,100,4.17,rain,,2,,18.8,347.2,1010.8,36.5,31.7,122.6,10.8,5,,2013-03-13T06:18:51,2013-03-13T18:01:56,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/14,7,-0.2,3.5,5.1,-2.6,1.5,-3.2,64,0.001,100,4.17,rain,,2,,13.1,295.8,1015.7,42.7,25.2,142,12.4,5,,2013-03-14T06:16:35,2013-03-14T18:03:38,0.04,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/15,8.8,3.6,6.2,5.3,0.5,2.8,2.7,78.2,1.005,100,12.5,rain,,2,59.4,29.4,206.4,1007.6,68.7,23.1,41.7,3.5,2,,2013-03-15T06:14:19,2013-03-15T18:05:21,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/16,8,6,6.9,4.4,1.9,3,4.4,83.6,4.06,100,16.67,rain,,,63.9,34.3,188.6,995.9,77.3,20.6,26.5,2.3,1,,2013-03-16T06:12:03,2013-03-16T18:07:03,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/17,7.6,2.5,5.4,4.8,-0.1,2.9,3.3,85.9,4.934,100,16.67,rain,,,,20.4,203.1,990.3,56.4,23.2,78.8,6.6,5,,2013-03-17T06:09:47,2013-03-17T18:08:46,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/18,8,-0.2,3.9,7.2,-0.2,3.2,2.4,90,8.866,100,12.5,"rain,snow",,,,8.2,58.1,991.1,55.7,10.9,59.5,5.1,2,,2013-03-18T06:07:30,2013-03-18T18:10:28,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/19,8.3,3.3,5,6.2,0.7,3.6,1.9,81,1.005,100,12.5,rain,,,,12.9,81.3,997.5,56.8,12.3,140.8,12.2,5,,2013-03-19T06:05:14,2013-03-19T18:12:09,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"3,769,099,999,036,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/20,6.3,2.8,4.3,3.9,-0.3,1.8,1.6,82.9,0.002,100,8.33,rain,,,,13,29.5,1006.8,67.6,6.2,152,13.1,6,,2013-03-20T06:02:57,2013-03-20T18:13:51,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/21,6.8,1.3,4.2,3.2,-1,0.8,-0.2,73.3,0,0,0,,,,46.4,26.7,103.1,1015.8,66.7,14.4,75.9,6.5,2,,2013-03-21T06:00:40,2013-03-21T18:15:33,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/22,5,2.8,3.9,0.5,-2,-0.9,0.4,77.9,0.526,100,16.67,rain,,2,57.1,31,88.6,1009.5,84.8,6,101.7,8.7,5,,2013-03-22T05:58:23,2013-03-22T18:17:14,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/23,3.3,1.1,1.8,-1.6,-3.9,-2.9,0.5,91.4,7.792,100,16.67,"rain,snow",,6.6,48.2,24.9,74.9,1009.8,96.3,4.3,53.2,4.5,2,,2013-03-23T05:56:06,2013-03-23T18:18:55,0.42,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/24,1.8,0.1,0.9,-2.3,-5.4,-4.1,-2.8,77.3,0.499,100,8.33,"rain,snow",,7,,23,63.1,1012.8,95.5,14.5,102.6,8.8,3,,2013-03-24T05:53:49,2013-03-24T18:20:37,0.45,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/25,2,1,1.5,-2.3,-4.4,-3.4,-4.7,63.4,0.001,100,4.17,"rain,snow",,6.4,51.3,26.2,54.4,1014.3,84.6,20.5,176.8,15.4,6,,2013-03-25T05:51:32,2013-03-25T18:22:18,0.48,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/26,2.1,1.1,1.6,-1.8,-3.8,-3,-4.8,62.5,0,0,0,,,5.7,,22.3,51.4,1013.5,82.1,19.5,146.7,12.7,5,,2013-03-26T05:49:15,2013-03-26T18:23:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/27,4.1,0.1,2,0.1,-3.9,-1.8,-4.5,62.4,0,0,0,,,3.7,,21.3,50.4,1011.7,62.1,18.5,142.7,12.2,4,,2013-03-27T05:46:58,2013-03-27T18:25:39,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/28,4.6,-0.4,2.3,1.1,-3.9,-1.2,-4,64.4,0,0,0,,,2,,20.2,39.4,1012.4,62.5,18.3,155.3,13.5,5,,2013-03-28T05:44:41,2013-03-28T18:27:20,0.51,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/29,6,0,2.7,2.7,-2.8,-0.5,-4.3,61.2,0,0,0,,,,,20.4,59.4,1010.9,67.7,30.7,174.4,15,5,,2013-03-29T05:42:25,2013-03-29T18:29:01,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/30,5.5,1.3,3.3,2.4,-2.3,-0.1,-2.6,66.1,0,0,0,,,,,20,45.4,1011.5,66.5,25,162.2,14.2,5,,2013-03-30T05:40:08,2013-03-30T18:30:42,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/3/31,5.3,-0.9,2.4,2.2,-2.6,-0.2,-3.5,66.1,0.001,100,4.17,"rain,snow",,,,17.3,72.1,1014.6,42.5,29.2,184.7,15.2,6,,2013-03-31T06:37:52,2013-03-31T19:32:22,0.61,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"3,769,099,999,036,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
London,2013/4/1,6.5,1.3,3.2,2.2,-2.9,-0.8,-3.4,62.8,0,0,0,,,,51.8,29.4,69.7,1011.5,54,22.8,185.8,16,6,,2013-04-01T06:35:36,2013-04-01T19:34:03,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"37,690,999,990,366,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
