"Reported road collisions by contributory factor and local authority, Great Britain, 10 years up to 2021",,,,,,
"This worksheet contains two tables, separated by a blank column. Some cells refer to notes which can be found on the notes worksheet.",,,,,,
Some cells in the 'Code_Local authority' field are labelled with 'no data' because they do not have an ONS identifier code. ,,,,,,
"Filters are active in row 5 and may hide some data. To turn off all filters select the ‘Data’ ribbon then ‘Filters’ button or use [Ctrl, Shift, L]’. ",,,,,,
Section,Contributory factor reported in accident [note 1],Region (ONS code),Region (name),Local authority (ONS code),Local authority (name),2020
Impairment or distraction,Rider wearing dark clothing,E12000001,North East,E06000047,County Durham,0
Impairment or distraction,Driver using mobile phone,E12000001,North East,E06000047,County Durham,1
Impairment or distraction,Distraction in vehicle,E12000001,North East,E06000047,County Durham,4
Impairment or distraction,Distraction outside vehicle,E12000001,North East,E06000047,County Durham,0
Behaviour or inexperience,Behaviour or inexperience,E12000001,North East,E06000047,County Durham,12
Behaviour or inexperience,Aggressive driving,E12000001,North East,E06000047,County Durham,3
Behaviour or inexperience,"Driver/Rider careless, reckless or in a hurry",E12000001,North East,E06000047,County Durham,5
Behaviour or inexperience,"Driver/Rider nervous, uncertain or panic",E12000001,North East,E06000047,County Durham,2
Behaviour or inexperience,Driving too slow for conditions or slow veh (eg tractor),E12000001,North East,E06000047,County Durham,0
Behaviour or inexperience,Learner or inexperienced driver/rider,E12000001,North East,E06000047,County Durham,3
Behaviour or inexperience,Inexperience of driving on the left,E12000001,North East,E06000047,County Durham,0
Behaviour or inexperience,Unfamiliar with model of vehicle,E12000001,North East,E06000047,County Durham,0
Vision affected by external factors,Vision affected by external factors,E12000001,North East,E06000047,County Durham,7
Vision affected by external factors,Stationary or parked vehicle(s),E12000001,North East,E06000047,County Durham,0
Vision affected by external factors,Vegetation,E12000001,North East,E06000047,County Durham,1
Vision affected by external factors,"Road layout (eg. bend, winding road, hill crest)",E12000001,North East,E06000047,County Durham,1
Vision affected by external factors,"Buildings, road signs, street furniture",E12000001,North East,E06000047,County Durham,0
Vision affected by external factors,Dazzling headlights,E12000001,North East,E06000047,County Durham,0
Vision affected by external factors,Dazzling sun,E12000001,North East,E06000047,County Durham,4
Vision affected by external factors,"Rain, sleet, snow, or fog",E12000001,North East,E06000047,County Durham,1
Vision affected by external factors,Spray from other vehicles,E12000001,North East,E06000047,County Durham,0
Vision affected by external factors,"Visor or windscreen dirty, scratched or frosted etc.",E12000001,North East,E06000047,County Durham,0
Vision affected by external factors,Vehicle blind spot,E12000001,North East,E06000047,County Durham,0
Pedestrian only (casualty or uninjured),Pedestrian only (casualty or uninjured),E12000001,North East,E06000047,County Durham,18
Pedestrian only (casualty or uninjured),Crossing road masked by stationary or parked vehicle,E12000001,North East,E06000047,County Durham,2
Pedestrian only (casualty or uninjured),Pedestrian failed to look properly,E12000001,North East,E06000047,County Durham,14
Pedestrian only (casualty or uninjured),Pedestrian failed to judge vehicle`s path or speed,E12000001,North East,E06000047,County Durham,2
Pedestrian only (casualty or uninjured),Pedestrian wrong use of pedestrian crossing facility,E12000001,North East,E06000047,County Durham,0
Pedestrian only (casualty or uninjured),Dangerous action in carriageway (eg. playing),E12000001,North East,E06000047,County Durham,0
Pedestrian only (casualty or uninjured),Pedestrian impaired by alcohol,E12000001,North East,E06000047,County Durham,2
Pedestrian only (casualty or uninjured),Pedestrian impaired by drugs (illicit or medicinal),E12000001,North East,E06000047,County Durham,0
Pedestrian only (casualty or uninjured),"Pedestrian careless, reckless or in a hurry",E12000001,North East,E06000047,County Durham,0
Pedestrian only (casualty or uninjured),Pedestrian wearing dark clothing at night,E12000001,North East,E06000047,County Durham,1
Pedestrian only (casualty or uninjured),"Pedestrian disability or illness, mental or physical",E12000001,North East,E06000047,County Durham,1
Special codes,Special Codes,E12000001,North East,E06000047,County Durham,9
Special codes,Stolen vehicle,E12000001,North East,E06000047,County Durham,1
Special codes,Vehicle in course of crime,E12000001,North East,E06000047,County Durham,2
Special codes,Emergency vehicle on a call,E12000001,North East,E06000047,County Durham,0
Special codes,Vehicle door opened or closed negligently,E12000001,North East,E06000047,County Durham,0
Special codes,Other,E12000001,North East,E06000047,County Durham,6
Any CF,Any CF,E12000001,North East,E06000047,County Durham,100
Road environment contributed,Road environment contributed,E12000001,North East,E06000005,Darlington,0
Road environment contributed,Poor or defective road surface ,E12000001,North East,E06000005,Darlington,0
Road environment contributed,"Deposit on road (eg. oil, mud, chippings)",E12000001,North East,E06000005,Darlington,0
Road environment contributed,Slippery road (due to weather),E12000001,North East,E06000005,Darlington,0
Road environment contributed,Inadequate or masked signs or road markings,E12000001,North East,E06000005,Darlington,0
Road environment contributed,Defective traffic signals,E12000001,North East,E06000005,Darlington,0
Road environment contributed,"Traffic calming (eg. road humps, chicane)",E12000001,North East,E06000005,Darlington,0
Road environment contributed,Temporary road layout (eg. contraflow),E12000001,North East,E06000005,Darlington,0
Road environment contributed,"Road layout (eg. bend, hill, narrow road)",E12000001,North East,E06000005,Darlington,0
Road environment contributed,Animal or object in carriageway ,E12000001,North East,E06000005,Darlington,0
Road environment contributed,Slippery inspection cover or road marking,E12000001,North East,E06000005,Darlington,0
Vehicle defects,Vehicle defects,E12000001,North East,E06000005,Darlington,0
Vehicle defects,"Tyres illegal, defective or under inflated",E12000001,North East,E06000005,Darlington,0
Vehicle defects,Defective lights or indicators,E12000001,North East,E06000005,Darlington,0
Vehicle defects,Defective brakes,E12000001,North East,E06000005,Darlington,0
Vehicle defects,Defective steering or suspension,E12000001,North East,E06000005,Darlington,0
Vehicle defects,Defective or missing mirrors,E12000001,North East,E06000005,Darlington,0
Vehicle defects,Overloaded or poorly loaded vehicle or trailer,E12000001,North East,E06000005,Darlington,0
Injudicious decision,Injudicious action,E12000001,North East,E06000005,Darlington,2
Injudicious decision,Disobeyed automatic traffic signal,E12000001,North East,E06000005,Darlington,0
Injudicious decision,Disobeyed 'Give Way' or 'Stop' sign or markings,E12000001,North East,E06000005,Darlington,0
Injudicious decision,Disobeyed double white lines,E12000001,North East,E06000005,Darlington,0
Injudicious decision,Disobeyed pedestrian crossing facility,E12000001,North East,E06000005,Darlington,0
Injudicious decision,Illegal turn or direction of travel,E12000001,North East,E06000005,Darlington,0
Injudicious decision,Exceeding speed limit,E12000001,North East,E06000005,Darlington,1
Injudicious decision,Travelling too fast for conditions,E12000001,North East,E06000005,Darlington,1
Injudicious decision,Following too close,E12000001,North East,E06000005,Darlington,0
Injudicious decision,Vehicle travelling along pavement,E12000001,North East,E06000005,Darlington,0
Injudicious decision,Cyclist entering road from pavement,E12000001,North East,E06000005,Darlington,0
Driver or rider error or reaction,Driver/Rider error or reaction,E12000001,North East,E06000005,Darlington,6
Driver or rider error or reaction,Junction overshoot,E12000001,North East,E06000005,Darlington,0
Driver or rider error or reaction,Junction restart (moving off at junction),E12000001,North East,E06000005,Darlington,0
Driver or rider error or reaction,Poor turn or manoeuvre,E12000001,North East,E06000005,Darlington,2
Driver or rider error or reaction,Failed to signal or misleading signal,E12000001,North East,E06000005,Darlington,0
Driver or rider error or reaction,Driver/Rider failed to look properly,E12000001,North East,E06000005,Darlington,3
Driver or rider error or reaction,Driver/Rider failed to judge other person`s path or speed,E12000001,North East,E06000005,Darlington,0
Driver or rider error or reaction,"Too close to cyclist, horse rider or pedestrian",E12000001,North East,E06000005,Darlington,0
Driver or rider error or reaction,Sudden braking,E12000001,North East,E06000005,Darlington,0
Driver or rider error or reaction,Swerved,E12000001,North East,E06000005,Darlington,0
Driver or rider error or reaction,Loss of control,E12000001,North East,E06000005,Darlington,1
Impairment or distraction,Impairment or distraction,E12000001,North East,E06000005,Darlington,2
Impairment or distraction,Driver/Rider impaired by alcohol,E12000001,North East,E06000005,Darlington,1
Impairment or distraction,Driver/Rider impaired by drugs (illicit or medicinal),E12000001,North East,E06000005,Darlington,0
Impairment or distraction,Fatigue,E12000001,North East,E06000005,Darlington,0
Impairment or distraction,"Uncorrected, defective eyesight",E12000001,North East,E06000005,Darlington,0
Impairment or distraction,"Driver/Rider illness or disability, mental or physical",E12000001,North East,E06000005,Darlington,0
Impairment or distraction,Not displaying lights at night or in poor visibility,E12000001,North East,E06000005,Darlington,1
Impairment or distraction,Rider wearing dark clothing,E12000001,North East,E06000005,Darlington,0
Impairment or distraction,Driver using mobile phone,E12000001,North East,E06000005,Darlington,0
Impairment or distraction,Distraction in vehicle,E12000001,North East,E06000005,Darlington,0
Impairment or distraction,Distraction outside vehicle,E12000001,North East,E06000005,Darlington,0
Behaviour or inexperience,Behaviour or inexperience,E12000001,North East,E06000005,Darlington,2
Behaviour or inexperience,Aggressive driving,E12000001,North East,E06000005,Darlington,1
Behaviour or inexperience,"Driver/Rider careless, reckless or in a hurry",E12000001,North East,E06000005,Darlington,1
Behaviour or inexperience,"Driver/Rider nervous, uncertain or panic",E12000001,North East,E06000005,Darlington,0
Behaviour or inexperience,Driving too slow for conditions or slow veh (eg tractor),E12000001,North East,E06000005,Darlington,0
Behaviour or inexperience,Learner or inexperienced driver/rider,E12000001,North East,E06000005,Darlington,0
Behaviour or inexperience,Inexperience of driving on the left,E12000001,North East,E06000005,Darlington,0
Behaviour or inexperience,Unfamiliar with model of vehicle,E12000001,North East,E06000005,Darlington,0
Vision affected by external factors,Vision affected by external factors,E12000001,North East,E06000005,Darlington,2
Vision affected by external factors,Stationary or parked vehicle(s),E12000001,North East,E06000005,Darlington,0
Vision affected by external factors,Vegetation,E12000001,North East,E06000005,Darlington,0
Vision affected by external factors,"Road layout (eg. bend, winding road, hill crest)",E12000001,North East,E06000005,Darlington,0
Vision affected by external factors,"Buildings, road signs, street furniture",E12000001,North East,E06000005,Darlington,0
Vision affected by external factors,Dazzling headlights,E12000001,North East,E06000005,Darlington,0
Vision affected by external factors,Dazzling sun,E12000001,North East,E06000005,Darlington,1
Vision affected by external factors,"Rain, sleet, snow, or fog",E12000001,North East,E06000005,Darlington,0
Vision affected by external factors,Spray from other vehicles,E12000001,North East,E06000005,Darlington,0
Vision affected by external factors,"Visor or windscreen dirty, scratched or frosted etc.",E12000001,North East,E06000005,Darlington,0
Vision affected by external factors,Vehicle blind spot,E12000001,North East,E06000005,Darlington,1
Pedestrian only (casualty or uninjured),Pedestrian only (casualty or uninjured),E12000001,North East,E06000005,Darlington,1
Pedestrian only (casualty or uninjured),Crossing road masked by stationary or parked vehicle,E12000001,North East,E06000005,Darlington,0
Pedestrian only (casualty or uninjured),Pedestrian failed to look properly,E12000001,North East,E06000005,Darlington,1
Pedestrian only (casualty or uninjured),Pedestrian failed to judge vehicle`s path or speed,E12000001,North East,E06000005,Darlington,0
Pedestrian only (casualty or uninjured),Pedestrian wrong use of pedestrian crossing facility,E12000001,North East,E06000005,Darlington,0
Pedestrian only (casualty or uninjured),Dangerous action in carriageway (eg. playing),E12000001,North East,E06000005,Darlington,0
Pedestrian only (casualty or uninjured),Pedestrian impaired by alcohol,E12000001,North East,E06000005,Darlington,0
Pedestrian only (casualty or uninjured),Pedestrian impaired by drugs (illicit or medicinal),E12000001,North East,E06000005,Darlington,0
Pedestrian only (casualty or uninjured),"Pedestrian careless, reckless or in a hurry",E12000001,North East,E06000005,Darlington,0
Pedestrian only (casualty or uninjured),Pedestrian wearing dark clothing at night,E12000001,North East,E06000005,Darlington,0
Pedestrian only (casualty or uninjured),"Pedestrian disability or illness, mental or physical",E12000001,North East,E06000005,Darlington,0
Special codes,Special Codes,E12000001,North East,E06000005,Darlington,1
Special codes,Stolen vehicle,E12000001,North East,E06000005,Darlington,0
Special codes,Vehicle in course of crime,E12000001,North East,E06000005,Darlington,1
Special codes,Emergency vehicle on a call,E12000001,North East,E06000005,Darlington,0
Special codes,Vehicle door opened or closed negligently,E12000001,North East,E06000005,Darlington,0
Special codes,Other,E12000001,North East,E06000005,Darlington,0
Any CF,Any CF,E12000001,North East,E06000005,Darlington,11
Road environment contributed,Road environment contributed,E12000001,North East,E08000037,Gateshead,2
Road environment contributed,Poor or defective road surface ,E12000001,North East,E08000037,Gateshead,0
Road environment contributed,"Deposit on road (eg. oil, mud, chippings)",E12000001,North East,E08000037,Gateshead,0
Road environment contributed,Slippery road (due to weather),E12000001,North East,E08000037,Gateshead,1
Road environment contributed,Inadequate or masked signs or road markings,E12000001,North East,E08000037,Gateshead,0
Road environment contributed,Defective traffic signals,E12000001,North East,E08000037,Gateshead,1
Road environment contributed,"Traffic calming (eg. road humps, chicane)",E12000001,North East,E08000037,Gateshead,0
Road environment contributed,Temporary road layout (eg. contraflow),E12000001,North East,E08000037,Gateshead,0
Road environment contributed,"Road layout (eg. bend, hill, narrow road)",E12000001,North East,E08000037,Gateshead,0
Road environment contributed,Animal or object in carriageway ,E12000001,North East,E08000037,Gateshead,0
Road environment contributed,Slippery inspection cover or road marking,E12000001,North East,E08000037,Gateshead,0
Vehicle defects,Vehicle defects,E12000001,North East,E08000037,Gateshead,1
Vehicle defects,"Tyres illegal, defective or under inflated",E12000001,North East,E08000037,Gateshead,0
Vehicle defects,Defective lights or indicators,E12000001,North East,E08000037,Gateshead,1
Vehicle defects,Defective brakes,E12000001,North East,E08000037,Gateshead,0
Vehicle defects,Defective steering or suspension,E12000001,North East,E08000037,Gateshead,0
Vehicle defects,Defective or missing mirrors,E12000001,North East,E08000037,Gateshead,0
Vehicle defects,Overloaded or poorly loaded vehicle or trailer,E12000001,North East,E08000037,Gateshead,0
Injudicious decision,Injudicious action,E12000001,North East,E08000037,Gateshead,13
Injudicious decision,Disobeyed automatic traffic signal,E12000001,North East,E08000037,Gateshead,3
Injudicious decision,Disobeyed 'Give Way' or 'Stop' sign or markings,E12000001,North East,E08000037,Gateshead,0
Injudicious decision,Disobeyed double white lines,E12000001,North East,E08000037,Gateshead,0
Injudicious decision,Disobeyed pedestrian crossing facility,E12000001,North East,E08000037,Gateshead,0
Injudicious decision,Illegal turn or direction of travel,E12000001,North East,E08000037,Gateshead,1
Injudicious decision,Exceeding speed limit,E12000001,North East,E08000037,Gateshead,4
Injudicious decision,Travelling too fast for conditions,E12000001,North East,E08000037,Gateshead,3
Injudicious decision,Following too close,E12000001,North East,E08000037,Gateshead,1
Injudicious decision,Vehicle travelling along pavement,E12000001,North East,E08000037,Gateshead,0
Injudicious decision,Cyclist entering road from pavement,E12000001,North East,E08000037,Gateshead,1
Driver or rider error or reaction,Driver/Rider error or reaction,E12000001,North East,E08000037,Gateshead,32
Driver or rider error or reaction,Junction overshoot,E12000001,North East,E08000037,Gateshead,0
Driver or rider error or reaction,Junction restart (moving off at junction),E12000001,North East,E08000037,Gateshead,0
Driver or rider error or reaction,Poor turn or manoeuvre,E12000001,North East,E08000037,Gateshead,5
Driver or rider error or reaction,Failed to signal or misleading signal,E12000001,North East,E08000037,Gateshead,0
Driver or rider error or reaction,Driver/Rider failed to look properly,E12000001,North East,E08000037,Gateshead,20
Driver or rider error or reaction,Driver/Rider failed to judge other person`s path or speed,E12000001,North East,E08000037,Gateshead,5
Driver or rider error or reaction,"Too close to cyclist, horse rider or pedestrian",E12000001,North East,E08000037,Gateshead,0
Driver or rider error or reaction,Sudden braking,E12000001,North East,E08000037,Gateshead,2
Driver or rider error or reaction,Swerved,E12000001,North East,E08000037,Gateshead,0
Driver or rider error or reaction,Loss of control,E12000001,North East,E08000037,Gateshead,4
Impairment or distraction,Impairment or distraction,E12000001,North East,E08000037,Gateshead,6
Impairment or distraction,Driver/Rider impaired by alcohol,E12000001,North East,E08000037,Gateshead,4
Impairment or distraction,Driver/Rider impaired by drugs (illicit or medicinal),E12000001,North East,E08000037,Gateshead,0
Impairment or distraction,Fatigue,E12000001,North East,E08000037,Gateshead,0
Impairment or distraction,"Uncorrected, defective eyesight",E12000001,North East,E08000037,Gateshead,0
Impairment or distraction,"Driver/Rider illness or disability, mental or physical",E12000001,North East,E08000037,Gateshead,1
Impairment or distraction,Not displaying lights at night or in poor visibility,E12000001,North East,E08000037,Gateshead,0
Impairment or distraction,Rider wearing dark clothing,E12000001,North East,E08000037,Gateshead,0
Impairment or distraction,Driver using mobile phone,E12000001,North East,E08000037,Gateshead,0
Impairment or distraction,Distraction in vehicle,E12000001,North East,E08000037,Gateshead,0
Impairment or distraction,Distraction outside vehicle,E12000001,North East,E08000037,Gateshead,1
Behaviour or inexperience,Behaviour or inexperience,E12000001,North East,E08000037,Gateshead,12
Behaviour or inexperience,Aggressive driving,E12000001,North East,E08000037,Gateshead,2
Behaviour or inexperience,"Driver/Rider careless, reckless or in a hurry",E12000001,North East,E08000037,Gateshead,9
Behaviour or inexperience,"Driver/Rider nervous, uncertain or panic",E12000001,North East,E08000037,Gateshead,1
Behaviour or inexperience,Driving too slow for conditions or slow veh (eg tractor),E12000001,North East,E08000037,Gateshead,0
Behaviour or inexperience,Learner or inexperienced driver/rider,E12000001,North East,E08000037,Gateshead,3
Behaviour or inexperience,Inexperience of driving on the left,E12000001,North East,E08000037,Gateshead,1
Behaviour or inexperience,Unfamiliar with model of vehicle,E12000001,North East,E08000037,Gateshead,0
Vision affected by external factors,Vision affected by external factors,E12000001,North East,E08000037,Gateshead,0
Vision affected by external factors,Stationary or parked vehicle(s),E12000001,North East,E08000037,Gateshead,0
Vision affected by external factors,Vegetation,E12000001,North East,E08000037,Gateshead,0
Vision affected by external factors,"Road layout (eg. bend, winding road, hill crest)",E12000001,North East,E08000037,Gateshead,0
Vision affected by external factors,"Buildings, road signs, street furniture",E12000001,North East,E08000037,Gateshead,0
Vision affected by external factors,Dazzling headlights,E12000001,North East,E08000037,Gateshead,0
Vision affected by external factors,Dazzling sun,E12000001,North East,E08000037,Gateshead,0
Vision affected by external factors,"Rain, sleet, snow, or fog",E12000001,North East,E08000037,Gateshead,0
Vision affected by external factors,Spray from other vehicles,E12000001,North East,E08000037,Gateshead,0
Vision affected by external factors,"Visor or windscreen dirty, scratched or frosted etc.",E12000001,North East,E08000037,Gateshead,0
Vision affected by external factors,Vehicle blind spot,E12000001,North East,E08000037,Gateshead,0
Pedestrian only (casualty or uninjured),Pedestrian only (casualty or uninjured),E12000001,North East,E08000037,Gateshead,4
Pedestrian only (casualty or uninjured),Crossing road masked by stationary or parked vehicle,E12000001,North East,E08000037,Gateshead,3
Pedestrian only (casualty or uninjured),Pedestrian failed to look properly,E12000001,North East,E08000037,Gateshead,3
Pedestrian only (casualty or uninjured),Pedestrian failed to judge vehicle`s path or speed,E12000001,North East,E08000037,Gateshead,0
Pedestrian only (casualty or uninjured),Pedestrian wrong use of pedestrian crossing facility,E12000001,North East,E08000037,Gateshead,0
Pedestrian only (casualty or uninjured),Dangerous action in carriageway (eg. playing),E12000001,North East,E08000037,Gateshead,0
Pedestrian only (casualty or uninjured),Pedestrian impaired by alcohol,E12000001,North East,E08000037,Gateshead,0
Pedestrian only (casualty or uninjured),Pedestrian impaired by drugs (illicit or medicinal),E12000001,North East,E08000037,Gateshead,0
Pedestrian only (casualty or uninjured),"Pedestrian careless, reckless or in a hurry",E12000001,North East,E08000037,Gateshead,0
Pedestrian only (casualty or uninjured),Pedestrian wearing dark clothing at night,E12000001,North East,E08000037,Gateshead,0
Pedestrian only (casualty or uninjured),"Pedestrian disability or illness, mental or physical",E12000001,North East,E08000037,Gateshead,0
Special codes,Special Codes,E12000001,North East,E08000037,Gateshead,2
Special codes,Stolen vehicle,E12000001,North East,E08000037,Gateshead,1
Special codes,Vehicle in course of crime,E12000001,North East,E08000037,Gateshead,1
Special codes,Emergency vehicle on a call,E12000001,North East,E08000037,Gateshead,0
Special codes,Vehicle door opened or closed negligently,E12000001,North East,E08000037,Gateshead,0
Special codes,Other,E12000001,North East,E08000037,Gateshead,1
Any CF,Any CF,E12000001,North East,E08000037,Gateshead,51
Road environment contributed,Road environment contributed,E12000001,North East,E06000001,Hartlepool,8
Road environment contributed,Poor or defective road surface ,E12000001,North East,E06000001,Hartlepool,0
Road environment contributed,"Deposit on road (eg. oil, mud, chippings)",E12000001,North East,E06000001,Hartlepool,0
Road environment contributed,Slippery road (due to weather),E12000001,North East,E06000001,Hartlepool,6
Road environment contributed,Inadequate or masked signs or road markings,E12000001,North East,E06000001,Hartlepool,0
Road environment contributed,Defective traffic signals,E12000001,North East,E06000001,Hartlepool,1
Road environment contributed,"Traffic calming (eg. road humps, chicane)",E12000001,North East,E06000001,Hartlepool,0
Road environment contributed,Temporary road layout (eg. contraflow),E12000001,North East,E06000001,Hartlepool,1
Road environment contributed,"Road layout (eg. bend, hill, narrow road)",E12000001,North East,E06000001,Hartlepool,0
Road environment contributed,Animal or object in carriageway ,E12000001,North East,E06000001,Hartlepool,1
Road environment contributed,Slippery inspection cover or road marking,E12000001,North East,E06000001,Hartlepool,0
Vehicle defects,Vehicle defects,E12000001,North East,E06000001,Hartlepool,3
Vehicle defects,"Tyres illegal, defective or under inflated",E12000001,North East,E06000001,Hartlepool,0
Vehicle defects,Defective lights or indicators,E12000001,North East,E06000001,Hartlepool,0
Vehicle defects,Defective brakes,E12000001,North East,E06000001,Hartlepool,3
Vehicle defects,Defective steering or suspension,E12000001,North East,E06000001,Hartlepool,0
Vehicle defects,Defective or missing mirrors,E12000001,North East,E06000001,Hartlepool,0
Vehicle defects,Overloaded or poorly loaded vehicle or trailer,E12000001,North East,E06000001,Hartlepool,0
Injudicious decision,Injudicious action,E12000001,North East,E06000001,Hartlepool,21
Injudicious decision,Disobeyed automatic traffic signal,E12000001,North East,E06000001,Hartlepool,4
Injudicious decision,Disobeyed 'Give Way' or 'Stop' sign or markings,E12000001,North East,E06000001,Hartlepool,0
Injudicious decision,Disobeyed double white lines,E12000001,North East,E06000001,Hartlepool,0
Injudicious decision,Disobeyed pedestrian crossing facility,E12000001,North East,E06000001,Hartlepool,0
Injudicious decision,Illegal turn or direction of travel,E12000001,North East,E06000001,Hartlepool,5
Injudicious decision,Exceeding speed limit,E12000001,North East,E06000001,Hartlepool,5
Injudicious decision,Travelling too fast for conditions,E12000001,North East,E06000001,Hartlepool,4
Injudicious decision,Following too close,E12000001,North East,E06000001,Hartlepool,3
Injudicious decision,Vehicle travelling along pavement,E12000001,North East,E06000001,Hartlepool,0
Injudicious decision,Cyclist entering road from pavement,E12000001,North East,E06000001,Hartlepool,3
Driver or rider error or reaction,Driver/Rider error or reaction,E12000001,North East,E06000001,Hartlepool,47
Driver or rider error or reaction,Junction overshoot,E12000001,North East,E06000001,Hartlepool,3
Driver or rider error or reaction,Junction restart (moving off at junction),E12000001,North East,E06000001,Hartlepool,0
Driver or rider error or reaction,Poor turn or manoeuvre,E12000001,North East,E06000001,Hartlepool,12
Driver or rider error or reaction,Failed to signal or misleading signal,E12000001,North East,E06000001,Hartlepool,0
Driver or rider error or reaction,Driver/Rider failed to look properly,E12000001,North East,E06000001,Hartlepool,28
Driver or rider error or reaction,Driver/Rider failed to judge other person`s path or speed,E12000001,North East,E06000001,Hartlepool,5
Driver or rider error or reaction,"Too close to cyclist, horse rider or pedestrian",E12000001,North East,E06000001,Hartlepool,0
Driver or rider error or reaction,Sudden braking,E12000001,North East,E06000001,Hartlepool,3
Driver or rider error or reaction,Swerved,E12000001,North East,E06000001,Hartlepool,1
Driver or rider error or reaction,Loss of control,E12000001,North East,E06000001,Hartlepool,5
Impairment or distraction,Impairment or distraction,E12000001,North East,E06000001,Hartlepool,17
