objectid,name,unique_code,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
39,Harborough,E07000131,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{B23E5C0D-BD92-4196-88D2-E6E4BBCBF8E8},185950.911968039,592692049.699271
40,Harrogate,E07000165,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{90F3C3E6-71FF-49DF-9702-DE45E714E64A},246964.624319697,1309127592.76051
41,Herefordshire County of,E06000019,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{2C56181C-9808-4BD3-8248-F7E0F174D329},349889.439797694,2179709442.25922
42,Huntingdonshire,E07000011,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{C524EF14-F927-45E2-A7C3-41E4E984A37B},223338.133370289,912455239.159139
43,Isle of Wight,E06000046,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{201CEF9C-035D-4D06-8997-BCCC473D1FD2},210106.299410113,379614785.758663
44,King's Lynn and West Norfolk,E07000146,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{F7B4B610-4B93-4A94-AEA1-55095D3E411F},694956.727048648,1439480389.44158
45,Lancaster,E07000121,Nitrogen Oxides annual mean Critical Level 2020,6,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{FC449E6B-A167-4D81-BF4B-73C87E62BD2C},345349.753588741,566935933.498085
46,Maidstone,E07000110,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{65E3A9B7-9347-42F0-AC78-B4C5D5A13662},122980.730512034,393329520.923427
47,Maldon,E07000074,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{A9564D13-1281-4534-85CB-086B35903AC5},469757.895285973,357815660.310834
48,Malvern Hills,E07000235,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{889AE3FD-FDC3-4F16-B703-C917B13CDE3D},230605.757150617,577070981.90519
49,Melton,E07000133,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{1B6E4B9F-C75B-40ED-8DBB-B923DF563FD5},140629.640964373,481380515.191377
50,Mendip,E07000187,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{C9E6BF95-94CF-4CCD-B8E6-23320335FAE7},198850.07740517,739435423.569124
51,Mid Devon,E07000042,Nitrogen Oxides annual mean Critical Level 2020,6,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{7806CE3F-4C21-4093-90C7-1B3E22718527},246408.793542254,912897719.729189
52,Mid Suffolk,E07000203,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{5F136977-1C8C-41C5-B66D-DD5C95745407},191154.673181977,871070645.727273
53,Milton Keynes,E06000042,Nitrogen Oxides annual mean Critical Level 2020,12,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{D005E065-B16C-40C7-B57C-A9B8F2280156},102960.590212706,308626789.344666
54,New Forest,E07000091,Nitrogen Oxides annual mean Critical Level 2020,8,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{DA0C3088-0FEC-479D-8C73-26BD575E6D82},332044.023252545,752175262.268098
55,Newark and Sherwood,E07000175,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{2450A5D9-FD2D-48DA-B1B2-25CB57D8F060},187422.523890761,651340472.135509
56,North Devon,E07000043,Nitrogen Oxides annual mean Critical Level 2020,5,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{1DF43FC6-EB06-43B0-A217-8103409C2A2D},308999.636073381,1085857679.30469
57,North East Lincolnshire,E06000012,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{8007BE8D-7EAA-4797-B2FF-D3FD1D721881},93248.7198118338,192622956.447469
58,North Hertfordshire,E07000099,Nitrogen Oxides annual mean Critical Level 2020,12,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{7ABBC591-A28D-4810-99B0-5780816E73DC},168316.826377509,375382315.818064
59,North Kesteven,E07000139,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{5C56E373-5284-489D-9C76-BF765E70CDCE},181807.859532353,922471388.545782
60,North Lincolnshire,E06000013,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{C4C2704A-2717-4BEF-9C38-2F46176225D8},244632.768773185,846499243.955763
61,North Norfolk,E07000147,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{ADB5C159-39F3-41C9-BFEA-DE959215DD41},600214.349706249,967553236.501038
62,Peterborough,E06000031,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{F53E308F-131F-422D-9A61-02C4A77EBEC8},112678.124727893,343378151.164244
63,Ribble Valley,E07000124,Nitrogen Oxides annual mean Critical Level 2020,6,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{14F2BE36-42C8-4EBC-86A7-3771BFAEA2C4},150499.986105046,584471489.092841
64,Richmondshire,E07000166,Nitrogen Oxides annual mean Critical Level 2020,5,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{494DDE6A-B3BE-40B4-A092-F9EB30796571},221710.071604986,1318707276.30363
65,Rother,E07000064,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{0A92C4C9-79A1-489C-B90C-5204F15927C2},180531.964127629,511753820.136877
66,Rutland,E06000017,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{C8237370-6A9C-4745-B4C9-6DC49B86D507},125885.233889929,393748908.230215
67,Ryedale,E07000167,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{5594C35A-F327-4D93-87EF-164ACD765E69},249894.293084849,1506593776.95214
68,Scarborough,E07000168,Nitrogen Oxides annual mean Critical Level 2020,6,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{74759819-7B8F-407D-9A28-A47519B971BA},241939.745649544,816188420.859728
69,Sedgemoor,E07000188,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{C9F1159D-D99F-4D88-BF8B-BFCBAA60CC50},242134.287189561,564543642.859635
70,Selby,E07000169,Nitrogen Oxides annual mean Critical Level 2020,13,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{6BDFC0C2-4D7D-419E-85BE-B74A6C190835},264869.301894204,599310809.432597
71,Folkestone and Hythe,E07000112,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{4065B3BB-9B88-4777-B686-1B3D96340F51},148969.584540585,356921037.577986
72,South Cambridgeshire,E07000012,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{E86E504D-8FAF-4662-A555-A56A34F92A8D},257078.232674111,901624810.46392
73,South Derbyshire,E07000039,Nitrogen Oxides annual mean Critical Level 2020,8,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{B1E559F0-9222-41B8-B841-17E86B6CB0D2},166693.264756748,338126970.261127
74,South Hams,E07000044,Nitrogen Oxides annual mean Critical Level 2020,5,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{EF9AE910-040D-4229-8A8A-0D49B7BE5969},478364.826113494,886510071.674955
75,South Holland,E07000140,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{2F4BB002-59C9-462D-A5E4-55080BD9D506},198138.771631415,750908591.673552
76,South Kesteven,E07000141,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{4E29CCB7-8484-4A54-91D9-53749D212324},209816.520260682,942585797.657035
77,South Lakeland,E07000031,Nitrogen Oxides annual mean Critical Level 2020,4,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{99EF6F08-98C4-491A-9F65-C3F1A76CD3FF},381861.979487717,1554923591.81439
78,South Norfolk,E07000149,Nitrogen Oxides annual mean Critical Level 2020,12,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{CFEC0918-226B-49B7-AA16-C8089360354B},266872.66836317,907576579.766064
79,South Northamptonshire,E07000155,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{A441502A-55EE-49E8-A463-DEF0692F5089},225304.988901924,634023185.055839
80,South Oxfordshire,E07000179,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{534532D2-8009-4ED0-B1F1-60D35A21A1E1},205400.226544209,678521428.259037
81,South Somerset,E07000189,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{50E3360C-8E35-4760-9D61-9959F2019191},241317.051224869,959040237.320222
82,Stafford,E07000197,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{55406A9A-6826-4498-B46C-448643345E9D},159078.806627588,598172233.422377
83,Staffordshire Moorlands,E07000198,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{6EFD2F2C-08E1-4319-A97F-C69ACD0E9F0F},152448.185289633,575849820.802262
84,Stratford-on-Avon,E07000221,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{E9061042-4916-43E6-A2E2-B32CDF528281},261384.087125663,977869054.895253
85,Stroud,E07000082,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{2675D5DF-21FC-4738-9D0C-17364770FC1F},172782.192867585,460541975.21288
86,Swale,E07000113,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{2D3CB2D5-2AB0-4F0E-835F-A2AE13A69CD3},347838.12354343,373436671.264401
87,Swindon,E06000030,Nitrogen Oxides annual mean Critical Level 2020,8,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{34FF7DD4-BC21-474A-B222-7CC705C01C71},103014.940246214,230093374.741894
88,Teignbridge,E07000045,Nitrogen Oxides annual mean Critical Level 2020,5,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{B6A45BB9-4325-450A-A830-01C36284FBE5},191464.02785335,673770656.969213
89,Telford and Wrekin,E06000020,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{3673A610-988B-4DBE-8C1B-B934D960A1B0},118780.033274165,290313545.188821
90,Tendring,E07000076,Nitrogen Oxides annual mean Critical Level 2020,12,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{B25B4888-1A19-4B2B-B329-BDC51B371FE5},442501.365026217,336295380.413206
91,Test Valley,E07000093,Nitrogen Oxides annual mean Critical Level 2020,8,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{1AF71D35-ABD6-437A-9644-03B4724FA39C},190816.352551876,627595190.71841
92,Tewkesbury,E07000083,Nitrogen Oxides annual mean Critical Level 2020,7,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{C580E23E-2DB8-46BB-B45A-21164FC972E8},204835.933707647,414414321.091512
93,Torridge,E07000046,Nitrogen Oxides annual mean Critical Level 2020,4,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{CDC06E0A-61CC-49E3-A58D-CE5B4CC04D58},315627.907057768,985293648.562924
94,Tunbridge Wells,E07000116,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{A2D9551E-9294-449A-BD91-DE7C29F50A4D},150590.455017113,331328854.676823
95,Uttlesford,E07000077,Nitrogen Oxides annual mean Critical Level 2020,13,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{7D96DF26-51BA-4CED-B3E2-6479C765DF2D},166507.865260072,641182922.735804
96,Vale of White Horse,E07000180,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{4769218A-D5C0-474C-BF7C-DBE4B14505C7},175977.202778777,578660264.122094
97,Wealden,E07000065,Nitrogen Oxides annual mean Critical Level 2020,12,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{11B46FA6-FAE4-4A57-B60E-D24303E81A0B},225878.103797448,834948417.645897
98,Wellingborough,E07000156,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{DAFCD6F6-9D1B-46BF-9FB3-DDDD2F28CD5C},69758.419463359,163036490.492432
99,West Berkshire,E06000037,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{B84CE03C-0BBE-4456-A280-E3F871E50A2E},166802.031523965,704169402.351946
100,West Devon,E07000047,Nitrogen Oxides annual mean Critical Level 2020,5,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{230521BC-0E43-437A-B555-F0A2D4E499F7},254068.377875136,1161107060.90436
101,West Lindsey,E07000142,Nitrogen Oxides annual mean Critical Level 2020,11,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{5DCE4BFA-E734-4D03-85C5-C4D8B3EDC45F},249630.856354362,1155731959.77556
102,West Oxfordshire,E07000181,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{E7D90B4B-CCDB-4D2E-917A-13FC010AF9CA},160247.897555111,714422027.138745
103,Winchester,E07000094,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{102A0F5E-17B4-4709-B024-667FB2428BB9},172158.212213579,660970090.904626
104,Wychavon,E07000238,Nitrogen Oxides annual mean Critical Level 2020,9,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{7201D5BC-2F55-4FE5-82DB-347B2E1032D8},219520.151476975,663541973.671783
105,Wycombe,E07000007,Nitrogen Oxides annual mean Critical Level 2020,10,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{79D4F256-6BA1-48C6-A36D-91017C0CFC5A},113202.002504236,324572080.488638
106,Aberdeen City,S12000033,Nitrogen Oxides annual mean Critical Level 2020,5,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{6CA65C5B-FB02-43F2-A172-DF32A6F564D0},123556.580507014,185610474.243169
107,Aberdeenshire,S12000034,Nitrogen Oxides annual mean Critical Level 2020,5,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{5CE709F5-2319-4466-8B10-BB6A5A0D5220},799709.748964081,6317887803.78567
108,Angus,S12000041,Nitrogen Oxides annual mean Critical Level 2020,4,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{6E2CF7FD-EBB3-48D5-A2E2-690B1C42CBCE},321368.916299985,2185122862.69083
109,Argyll and Bute,S12000035,Nitrogen Oxides annual mean Critical Level 2020,3,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{083A1539-28A2-475B-867D-C9DF3996025A},3803209.36951455,7006318125.25739
110,Clackmannanshire,S12000005,Nitrogen Oxides annual mean Critical Level 2020,6,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{3A0A15C6-7287-4B5B-8934-2FF0B04D5F29},94185.4153006457,158972120.172314
111,Dumfries and Galloway,S12000006,Nitrogen Oxides annual mean Critical Level 2020,4,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{F5814AA1-8A4A-463A-A910-A5A2507EC195},1204443.71146869,6436441092.00878
112,East Ayrshire,S12000008,Nitrogen Oxides annual mean Critical Level 2020,4,μg m⁻³ as NO₂,Compliant,Critical Level: 30 μg m⁻³ as NO2,{1DCD2AD6-D878-4D0B-AA59-A734A1B25E35},340964.549131594,1270342031.26971
